"Gene One","Gene Two","Pearson's r-value","P-Value"
"LOC_Os01g08420","LOC_Os01g33762","0.765913","0.0"
"LOC_Os01g08420","LOC_Os01g33784","0.702344","1.58E-43"
"LOC_Os01g08420","LOC_Os01g33800","0.854122","0.0"
"LOC_Os01g08420","LOC_Os01g34200","0.705509","4.5E-44"
"LOC_Os01g08420","LOC_Os01g34330","0.74474","0.0"
"LOC_Os01g08420","LOC_Os01g34430","0.738194","0.0"
"LOC_Os01g08420","LOC_Os01g35160","0.745053","0.0"
"LOC_Os01g08420","LOC_Os01g35184","0.7774","0.0"
"LOC_Os01g08420","LOC_Os01g35580","0.720838","0.0"
"LOC_Os01g08420","LOC_Os01g36670","0.775138","0.0"
"LOC_Os01g08420","LOC_Os01g36840","0.785142","0.0"
"LOC_Os01g08420","LOC_Os01g37120","0.749535","0.0"
"LOC_Os01g08420","LOC_Os01g37210","0.724341","0.0"
"LOC_Os01g08420","LOC_Os01g37760","0.861085","0.0"
"LOC_Os01g08420","LOC_Os01g37825","0.720606","0.0"
"LOC_Os01g08420","LOC_Os01g39060","0.755879","0.0"
"LOC_Os01g08420","LOC_Os01g39250","0.715881","0.0"
"LOC_Os01g08420","LOC_Os01g39260","0.783439","0.0"
"LOC_Os01g08420","LOC_Os01g39380","0.764275","0.0"
"LOC_Os01g08420","LOC_Os01g40050","0.83643","0.0"
"LOC_Os01g08420","LOC_Os01g40340","0.782994","0.0"
"LOC_Os01g08420","LOC_Os01g40620","0.768664","0.0"
"LOC_Os01g08420","LOC_Os01g40840","0.802461","0.0"
"LOC_Os01g08420","LOC_Os01g40990","0.811116","0.0"
"LOC_Os01g08420","LOC_Os01g42010","0.767151","0.0"
"LOC_Os01g08420","LOC_Os01g42050","0.731571","0.0"
"LOC_Os01g08420","LOC_Os01g42260","0.772146","0.0"
"LOC_Os01g08420","LOC_Os01g42490","0.779411","0.0"
"LOC_Os01g08420","LOC_Os01g42630","0.759614","0.0"
"LOC_Os01g08420","LOC_Os01g42800","0.716614","0.0"
"LOC_Os01g08420","LOC_Os01g42950","0.782799","0.0"
"LOC_Os01g08420","LOC_Os01g44990","0.851826","0.0"
"LOC_Os01g08420","LOC_Os01g45970","0.7707","0.0"
"LOC_Os01g08420","LOC_Os01g46200","0.786923","0.0"
"LOC_Os01g08420","LOC_Os01g46590","0.869813","0.0"
"LOC_Os01g08420","LOC_Os01g46700","0.866168","0.0"
"LOC_Os01g08420","LOC_Os01g46710","0.757762","0.0"
"LOC_Os01g08420","LOC_Os01g46750","0.714726","1.4E-45"
"LOC_Os01g08420","LOC_Os01g47420","0.700744","2.96E-43"
"LOC_Os01g08420","LOC_Os01g47430","0.838817","0.0"
"LOC_Os01g08420","LOC_Os01g47530","0.701491","2.21E-43"
"LOC_Os01g08420","LOC_Os01g47650","0.819017","0.0"
"LOC_Os01g08420","LOC_Os01g47740","0.724726","0.0"
"LOC_Os01g08420","LOC_Os01g47770","0.732095","0.0"
"LOC_Os01g08420","LOC_Os01g48210","0.713013","2.8E-45"
"LOC_Os01g08420","LOC_Os01g48310","0.73873","0.0"
"LOC_Os01g08420","LOC_Os01g48370","0.706381","3.2E-44"
"LOC_Os01g08420","LOC_Os01g48920","0.711204","4.2E-45"
"LOC_Os01g08420","LOC_Os01g49060","0.825488","0.0"
"LOC_Os01g08420","LOC_Os01g49219","0.71686","0.0"
"LOC_Os01g08420","LOC_Os01g49680","0.838739","0.0"
"LOC_Os01g08420","LOC_Os01g49760","0.76785","0.0"
"LOC_Os01g08420","LOC_Os01g49900","0.731145","0.0"
"LOC_Os01g08420","LOC_Os01g49930","0.85462","0.0"
"LOC_Os01g08420","LOC_Os01g49940","0.83998","0.0"
"LOC_Os01g08420","LOC_Os01g50320","0.762788","0.0"
"LOC_Os01g08420","LOC_Os01g50690","0.828281","0.0"
"LOC_Os01g08420","LOC_Os01g50770","0.774582","0.0"
"LOC_Os01g08420","LOC_Os01g51390","0.727955","0.0"
"LOC_Os01g08420","LOC_Os01g51710","0.707685","2.0E-44"
"LOC_Os01g08420","LOC_Os01g51754","0.73185","0.0"
