"Gene One","Gene Two","Pearson's r-value","P-Value"
"LOC_Os01g08420","LOC_Os02g50290","0.70556","4.5E-44"
"LOC_Os01g08420","LOC_Os02g50360","0.79678","0.0"
"LOC_Os01g08420","LOC_Os02g50790","0.827143","0.0"
"LOC_Os01g08420","LOC_Os02g50830","0.710648","5.6E-45"
"LOC_Os01g08420","LOC_Os02g50850","0.720635","0.0"
"LOC_Os01g08420","LOC_Os02g51100","0.795032","0.0"
"LOC_Os01g08420","LOC_Os02g51140","0.766546","0.0"
"LOC_Os01g08420","LOC_Os02g51150","0.715708","1.4E-45"
"LOC_Os01g08420","LOC_Os02g51330","0.720913","0.0"
"LOC_Os01g08420","LOC_Os02g51400","0.897099","0.0"
"LOC_Os01g08420","LOC_Os02g52390","0.772525","0.0"
"LOC_Os01g08420","LOC_Os02g52470","0.793273","0.0"
"LOC_Os01g08420","LOC_Os02g52960","0.872011","0.0"
"LOC_Os01g08420","LOC_Os02g53270","0.758818","0.0"
"LOC_Os01g08420","LOC_Os02g53500","0.790005","0.0"
"LOC_Os01g08420","LOC_Os02g53670","0.861253","0.0"
"LOC_Os01g08420","LOC_Os02g53740","0.712754","2.8E-45"
"LOC_Os01g08420","LOC_Os02g53780","0.846558","0.0"
"LOC_Os01g08420","LOC_Os02g54020","0.828828","0.0"
"LOC_Os01g08420","LOC_Os02g54090","0.882658","0.0"
"LOC_Os01g08420","LOC_Os02g54340","0.709069","1.1E-44"
"LOC_Os01g08420","LOC_Os02g54500","0.807121","0.0"
"LOC_Os01g08420","LOC_Os02g54510","0.76295","0.0"
"LOC_Os01g08420","LOC_Os02g54580","0.720818","0.0"
"LOC_Os01g08420","LOC_Os02g55140","0.7554","0.0"
"LOC_Os01g08420","LOC_Os02g55150","0.851687","0.0"
"LOC_Os01g08420","LOC_Os02g55160","0.780558","0.0"
"LOC_Os01g08420","LOC_Os02g55200","0.722753","0.0"
"LOC_Os01g08420","LOC_Os02g55520","0.802373","0.0"
"LOC_Os01g08420","LOC_Os02g55689","0.813218","0.0"
"LOC_Os01g08420","LOC_Os02g55720","0.845198","0.0"
"LOC_Os01g08420","LOC_Os02g55729","0.736322","0.0"
"LOC_Os01g08420","LOC_Os02g55790","0.704718","6.2E-44"
"LOC_Os01g08420","LOC_Os02g56000","0.719243","0.0"
"LOC_Os01g08420","LOC_Os02g56040","0.729076","0.0"
"LOC_Os01g08420","LOC_Os02g56090","0.713528","1.4E-45"
"LOC_Os01g08420","LOC_Os02g56180","0.713942","1.4E-45"
"LOC_Os01g08420","LOC_Os02g56190","0.776267","0.0"
"LOC_Os01g08420","LOC_Os02g56360","0.78542","0.0"
"LOC_Os01g08420","LOC_Os02g56565","0.722246","0.0"
"LOC_Os01g08420","LOC_Os02g56910","0.848647","0.0"
"LOC_Os01g08420","LOC_Os02g56980","0.730351","0.0"
"LOC_Os01g08420","LOC_Os02g57190","0.806801","0.0"
"LOC_Os01g08420","LOC_Os02g57220","0.767998","0.0"
"LOC_Os01g08420","LOC_Os02g57270","0.794179","0.0"
"LOC_Os01g08420","LOC_Os02g57370","0.748957","0.0"
"LOC_Os01g08420","LOC_Os02g57650","0.847525","0.0"
"LOC_Os01g08420","LOC_Os02g57750","0.81353","0.0"
"LOC_Os01g08420","LOC_Os02g57780","0.768972","0.0"
"LOC_Os01g08420","LOC_Os02g58139","0.75803","0.0"
"LOC_Os01g08420","LOC_Os02g58554","0.762581","0.0"
"LOC_Os01g08420","LOC_Os02g58560","0.903888","0.0"
"LOC_Os01g08420","LOC_Os02g58580","0.778206","0.0"
"LOC_Os01g08420","LOC_Os02g58590","0.868597","0.0"
"LOC_Os01g08420","LOC_Os02g58650","0.725209","0.0"
"LOC_Os01g08420","LOC_Os03g01100","0.815752","0.0"
"LOC_Os01g08420","LOC_Os03g01216","0.715101","1.4E-45"
"LOC_Os01g08420","LOC_Os03g01360","0.81111","0.0"
"LOC_Os01g08420","LOC_Os03g01660","0.718729","0.0"
"LOC_Os01g08420","LOC_Os03g02100","0.899825","0.0"
"LOC_Os01g08420","LOC_Os03g02320","0.794897","0.0"
"LOC_Os01g08420","LOC_Os03g03710","0.813719","0.0"
"LOC_Os01g08420","LOC_Os03g03900","0.734472","0.0"
"LOC_Os01g08420","LOC_Os03g03920","0.722394","0.0"
"LOC_Os01g08420","LOC_Os03g04270","0.707188","2.4E-44"
"LOC_Os01g08420","LOC_Os03g04300","0.756928","0.0"
"LOC_Os01g08420","LOC_Os03g04400","0.723828","0.0"
"LOC_Os01g08420","LOC_Os03g04440","0.727009","0.0"
"LOC_Os01g08420","LOC_Os03g04940","0.840543","0.0"
"LOC_Os01g08420","LOC_Os03g05310","0.71863","0.0"
"LOC_Os01g08420","LOC_Os03g05340","0.872413","0.0"
"LOC_Os01g08420","LOC_Os03g05430","0.719341","0.0"
"LOC_Os01g08420","LOC_Os03g05690","0.759797","0.0"
"LOC_Os01g08420","LOC_Os03g05780","0.749215","0.0"
"LOC_Os01g08420","LOC_Os03g05806","0.725389","0.0"
"LOC_Os01g08420","LOC_Os03g05830","0.889546","0.0"
"LOC_Os01g08420","LOC_Os03g06420","0.775322","0.0"
"LOC_Os01g08420","LOC_Os03g06490","0.740835","0.0"
"LOC_Os01g08420","LOC_Os03g06860","0.748157","0.0"
"LOC_Os01g08420","LOC_Os03g06880","0.826206","0.0"
"LOC_Os01g08420","LOC_Os03g06950","0.84306","0.0"
"LOC_Os01g08420","LOC_Os03g07150","0.744348","0.0"
"LOC_Os01g08420","LOC_Os03g07160","0.737748","0.0"
"LOC_Os01g08420","LOC_Os03g07220","0.768195","0.0"
"LOC_Os01g08420","LOC_Os03g07420","0.766063","0.0"
"LOC_Os01g08420","LOC_Os03g07739","0.792362","0.0"
"LOC_Os01g08420","LOC_Os03g07820","0.743978","0.0"
"LOC_Os01g08420","LOC_Os03g07850","0.759526","0.0"
"LOC_Os01g08420","LOC_Os03g08000","0.721112","0.0"
"LOC_Os01g08420","LOC_Os03g08680","0.71968","0.0"
"LOC_Os01g08420","LOC_Os03g08820","0.740674","0.0"
"LOC_Os01g08420","LOC_Os03g09090","0.719458","0.0"
"LOC_Os01g08420","LOC_Os03g09110","0.718974","0.0"
"LOC_Os01g08420","LOC_Os03g10070","0.732188","0.0"
"LOC_Os01g08420","LOC_Os03g10400","0.838487","0.0"
"LOC_Os01g08420","LOC_Os03g10540","0.720334","0.0"
"LOC_Os01g08420","LOC_Os03g10750","0.813702","0.0"
"LOC_Os01g08420","LOC_Os03g10780","0.791596","0.0"
"LOC_Os01g08420","LOC_Os03g10890","0.742865","0.0"
"LOC_Os01g08420","LOC_Os03g11200","0.749622","0.0"
"LOC_Os01g08420","LOC_Os03g11460","0.704334","7.3E-44"
"LOC_Os01g08420","LOC_Os03g11470","0.910266","0.0"
"LOC_Os01g08420","LOC_Os03g11500","0.763202","0.0"
"LOC_Os01g08420","LOC_Os03g11520","0.839123","0.0"
"LOC_Os01g08420","LOC_Os03g11790","0.740209","0.0"
"LOC_Os01g08420","LOC_Os03g11890","0.765661","0.0"
"LOC_Os01g08420","LOC_Os03g12100","0.722996","0.0"
"LOC_Os01g08420","LOC_Os03g12810","0.778431","0.0"
"LOC_Os01g08420","LOC_Os03g12930","0.817578","0.0"
"LOC_Os01g08420","LOC_Os03g13100","0.701212","2.47E-43"
"LOC_Os01g08420","LOC_Os03g13240","0.759852","0.0"
"LOC_Os01g08420","LOC_Os03g13614","0.828672","0.0"
"LOC_Os01g08420","LOC_Os03g13790","0.828134","0.0"
"LOC_Os01g08420","LOC_Os03g13960","0.76754","0.0"
"LOC_Os01g08420","LOC_Os03g14280","0.748026","0.0"
"LOC_Os01g08420","LOC_Os03g14380","0.703055","1.19E-43"
"LOC_Os01g08420","LOC_Os03g14980","0.74312","0.0"
"LOC_Os01g08420","LOC_Os03g15110","0.707852","1.8E-44"
"LOC_Os01g08420","LOC_Os03g15480","0.720774","0.0"
"LOC_Os01g08420","LOC_Os03g15600","0.920793","0.0"
"LOC_Os01g08420","LOC_Os03g16120","0.888223","0.0"
"LOC_Os01g08420","LOC_Os03g16130","0.80608","0.0"
"LOC_Os01g08420","LOC_Os03g16790","0.872356","0.0"
"LOC_Os01g08420","LOC_Os03g17050","0.801505","0.0"
"LOC_Os01g08420","LOC_Os03g17180","0.753655","0.0"
"LOC_Os01g08420","LOC_Os03g17300","0.723284","0.0"
"LOC_Os01g08420","LOC_Os03g17310","0.779877","0.0"
"LOC_Os01g08420","LOC_Os03g17340","0.772394","0.0"
"LOC_Os01g08420","LOC_Os03g17440","0.784319","0.0"
"LOC_Os01g08420","LOC_Os03g17540","0.870902","0.0"
"LOC_Os01g08420","LOC_Os03g17570","0.720291","0.0"
"LOC_Os01g08420","LOC_Os03g17610","0.735878","0.0"
"LOC_Os01g08420","LOC_Os03g17730","0.765406","0.0"
"LOC_Os01g08420","LOC_Os03g18080","0.878065","0.0"
"LOC_Os01g08420","LOC_Os03g18264","0.774084","0.0"
"LOC_Os01g08420","LOC_Os03g18440","0.793902","0.0"
"LOC_Os01g08420","LOC_Os03g19300","0.717616","0.0"
"LOC_Os01g08420","LOC_Os03g19340","0.825589","0.0"
"LOC_Os01g08420","LOC_Os03g19410","0.700776","2.93E-43"
"LOC_Os01g08420","LOC_Os03g19480","0.794456","0.0"
"LOC_Os01g08420","LOC_Os03g19960","0.773345","0.0"
"LOC_Os01g08420","LOC_Os03g20190","0.703153","1.15E-43"
"LOC_Os01g08420","LOC_Os03g20340","0.700922","2.76E-43"
"LOC_Os01g08420","LOC_Os03g20520","0.701047","2.63E-43"
"LOC_Os01g08420","LOC_Os03g20570","0.762291","0.0"
"LOC_Os01g08420","LOC_Os03g20980","0.854782","0.0"
"LOC_Os01g08420","LOC_Os03g21020","0.740622","0.0"
"LOC_Os01g08420","LOC_Os03g21600","0.712113","2.8E-45"
"LOC_Os01g08420","LOC_Os03g21630","0.85084","0.0"
"LOC_Os01g08420","LOC_Os03g21720","0.717586","0.0"
"LOC_Os01g08420","LOC_Os03g21740","0.715543","1.4E-45"
"LOC_Os01g08420","LOC_Os03g21964","0.856133","0.0"
"LOC_Os01g08420","LOC_Os03g21980","0.739781","0.0"
"LOC_Os01g08420","LOC_Os03g21990","0.729237","0.0"
"LOC_Os01g08420","LOC_Os03g22190","0.785861","0.0"
"LOC_Os01g08420","LOC_Os03g22380","0.726838","0.0"
"LOC_Os01g08420","LOC_Os03g22400","0.844147","0.0"
"LOC_Os01g08420","LOC_Os03g22430","0.71685","0.0"
"LOC_Os01g08420","LOC_Os03g22580","0.705314","4.9E-44"
"LOC_Os01g08420","LOC_Os03g22900","0.886547","0.0"
"LOC_Os01g08420","LOC_Os03g24339","0.844687","0.0"
"LOC_Os01g08420","LOC_Os03g24380","0.72979","0.0"
"LOC_Os01g08420","LOC_Os03g25480","0.713293","1.4E-45"
"LOC_Os01g08420","LOC_Os03g25970","0.738769","0.0"
"LOC_Os01g08420","LOC_Os03g26080","0.816202","0.0"
"LOC_Os01g08420","LOC_Os03g26350","0.78019","0.0"
"LOC_Os01g08420","LOC_Os03g26360","0.750033","0.0"
"LOC_Os01g08420","LOC_Os03g26630","0.803308","0.0"
"LOC_Os01g08420","LOC_Os03g27250","0.734067","0.0"
"LOC_Os01g08420","LOC_Os03g27340","0.798846","0.0"
"LOC_Os01g08420","LOC_Os03g27840","0.714502","1.4E-45"
"LOC_Os01g08420","LOC_Os03g28310","0.711398","4.2E-45"
"LOC_Os01g08420","LOC_Os03g30519","0.724099","0.0"
"LOC_Os01g08420","LOC_Os03g30934","0.723239","0.0"
"LOC_Os01g08420","LOC_Os03g31010","0.704014","8.3E-44"
"LOC_Os01g08420","LOC_Os03g31026","0.715836","0.0"
"LOC_Os01g08420","LOC_Os03g31044","0.763007","0.0"
"LOC_Os01g08420","LOC_Os03g31070","0.76058","0.0"
"LOC_Os01g08420","LOC_Os03g31110","0.736271","0.0"
"LOC_Os01g08420","LOC_Os03g31400","0.727421","0.0"
"LOC_Os01g08420","LOC_Os03g31550","0.761231","0.0"
"LOC_Os01g08420","LOC_Os03g31594","0.8271","0.0"
"LOC_Os01g08420","LOC_Os03g31706","0.748346","0.0"
"LOC_Os01g08420","LOC_Os03g31839","0.719405","0.0"
"LOC_Os01g08420","LOC_Os03g32526","0.703442","1.02E-43"
"LOC_Os01g08420","LOC_Os03g34300","0.814218","0.0"
"LOC_Os01g08420","LOC_Os03g35340","0.792312","0.0"
"LOC_Os01g08420","LOC_Os03g35849","0.788485","0.0"
"LOC_Os01g08420","LOC_Os03g36419","0.729003","0.0"
"LOC_Os01g08420","LOC_Os03g36760","0.716375","0.0"
"LOC_Os01g08420","LOC_Os03g36780","0.757253","0.0"
"LOC_Os01g08420","LOC_Os03g37320","0.729441","0.0"
"LOC_Os01g08420","LOC_Os03g37580","0.753443","0.0"
"LOC_Os01g08420","LOC_Os03g38990","0.786084","0.0"
"LOC_Os01g08420","LOC_Os03g39129","0.71432","1.4E-45"
"LOC_Os01g08420","LOC_Os03g39407","0.757486","0.0"
"LOC_Os01g08420","LOC_Os03g39655","0.755238","0.0"
"LOC_Os01g08420","LOC_Os03g40010","0.703528","1.0E-43"
"LOC_Os01g08420","LOC_Os03g40690","0.723651","0.0"
"LOC_Os01g08420","LOC_Os03g41229","0.813251","0.0"
"LOC_Os01g08420","LOC_Os03g42650","0.778818","0.0"
"LOC_Os01g08420","LOC_Os03g42840","0.721852","0.0"
"LOC_Os01g08420","LOC_Os03g43360","0.749833","0.0"
"LOC_Os01g08420","LOC_Os03g43390","0.761949","0.0"
"LOC_Os01g08420","LOC_Os03g43900","0.748845","0.0"
"LOC_Os01g08420","LOC_Os03g44010","0.760862","0.0"
"LOC_Os01g08420","LOC_Os03g44484","0.745079","0.0"
"LOC_Os01g08420","LOC_Os03g44500","0.823657","0.0"
"LOC_Os01g08420","LOC_Os03g46230","0.72076","0.0"
"LOC_Os01g08420","LOC_Os03g46610","0.770385","0.0"
"LOC_Os01g08420","LOC_Os03g46740","0.792441","0.0"
"LOC_Os01g08420","LOC_Os03g46750","0.785209","0.0"
"LOC_Os01g08420","LOC_Os03g46950","0.79424","0.0"
"LOC_Os01g08420","LOC_Os03g47780","0.700888","2.8E-43"
"LOC_Os01g08420","LOC_Os03g47949","0.727188","0.0"
"LOC_Os01g08420","LOC_Os03g47970","0.717532","0.0"
"LOC_Os01g08420","LOC_Os03g48940","0.755374","0.0"
"LOC_Os01g08420","LOC_Os03g49420","0.811076","0.0"
"LOC_Os01g08420","LOC_Os03g49520","0.749342","0.0"
"LOC_Os01g08420","LOC_Os03g49900","0.747548","0.0"
"LOC_Os01g08420","LOC_Os03g49960","0.835169","0.0"
"LOC_Os01g08420","LOC_Os03g50330","0.716358","0.0"
"LOC_Os01g08420","LOC_Os03g50390","0.814474","0.0"
"LOC_Os01g08420","LOC_Os03g50620","0.765299","0.0"
"LOC_Os01g08420","LOC_Os03g50740","0.765363","0.0"
"LOC_Os01g08420","LOC_Os03g50850","0.736753","0.0"
"LOC_Os01g08420","LOC_Os03g50980","0.781137","0.0"
"LOC_Os01g08420","LOC_Os03g51270","0.753091","0.0"
"LOC_Os01g08420","LOC_Os03g51520","0.799956","0.0"
"LOC_Os01g08420","LOC_Os03g51830","0.739055","0.0"
"LOC_Os01g08420","LOC_Os03g52150","0.810513","0.0"
"LOC_Os01g08420","LOC_Os03g52430","0.822159","0.0"
"LOC_Os01g08420","LOC_Os03g52594","0.798145","0.0"
"LOC_Os01g08420","LOC_Os03g52700","0.722075","0.0"
"LOC_Os01g08420","LOC_Os03g52830","0.82641","0.0"
"LOC_Os01g08420","LOC_Os03g52980","0.807499","0.0"
"LOC_Os01g08420","LOC_Os03g53670","0.770111","0.0"
"LOC_Os01g08420","LOC_Os03g53760","0.862166","0.0"
"LOC_Os01g08420","LOC_Os03g53960","0.756277","0.0"
"LOC_Os01g08420","LOC_Os03g53990","0.813649","0.0"
"LOC_Os01g08420","LOC_Os03g54063","0.78568","0.0"
"LOC_Os01g08420","LOC_Os03g54150","0.716313","0.0"
"LOC_Os01g08420","LOC_Os03g54220","0.737957","0.0"
"LOC_Os01g08420","LOC_Os03g55360","0.741812","0.0"
"LOC_Os01g08420","LOC_Os03g55560","0.777643","0.0"
"LOC_Os01g08420","LOC_Os03g56620","0.702835","1.3E-43"
"LOC_Os01g08420","LOC_Os03g56630","0.82493","0.0"
"LOC_Os01g08420","LOC_Os03g56740","0.707412","2.1E-44"
"LOC_Os01g08420","LOC_Os03g57130","0.808271","0.0"
"LOC_Os01g08420","LOC_Os03g57160","0.774398","0.0"
"LOC_Os01g08420","LOC_Os03g57290","0.779443","0.0"
"LOC_Os01g08420","LOC_Os03g57580","0.722428","0.0"
"LOC_Os01g08420","LOC_Os03g57854","0.806177","0.0"
"LOC_Os01g08420","LOC_Os03g57940","0.716988","0.0"
"LOC_Os01g08420","LOC_Os03g58060","0.922144","0.0"
"LOC_Os01g08420","LOC_Os03g58080","0.70039","3.4E-43"
"LOC_Os01g08420","LOC_Os03g58520","0.73155","0.0"
"LOC_Os01g08420","LOC_Os03g58690","0.810516","0.0"
"LOC_Os01g08420","LOC_Os03g58700","0.736998","0.0"
"LOC_Os01g08420","LOC_Os03g58710","0.737121","0.0"
"LOC_Os01g08420","LOC_Os03g58970","0.725138","0.0"
"LOC_Os01g08420","LOC_Os03g59050","0.718129","0.0"
"LOC_Os01g08420","LOC_Os03g59170","0.710305","7.0E-45"
"LOC_Os01g08420","LOC_Os03g59470","0.765621","0.0"
"LOC_Os01g08420","LOC_Os03g59700","0.740051","0.0"
"LOC_Os01g08420","LOC_Os03g60140","0.708718","1.3E-44"
"LOC_Os01g08420","LOC_Os03g60800","0.761889","0.0"
"LOC_Os01g08420","LOC_Os03g60890","0.752726","0.0"
"LOC_Os01g08420","LOC_Os03g60930","0.781354","0.0"
"LOC_Os01g08420","LOC_Os03g61340","0.704452","6.9E-44"
"LOC_Os01g08420","LOC_Os03g61640","0.715118","1.4E-45"
"LOC_Os01g08420","LOC_Os03g61760","0.817519","0.0"
"LOC_Os01g08420","LOC_Os03g61930","0.766716","0.0"
"LOC_Os01g08420","LOC_Os03g61950","0.76859","0.0"
"LOC_Os01g08420","LOC_Os03g61980","0.717707","0.0"
"LOC_Os01g08420","LOC_Os03g62379","0.785366","0.0"
"LOC_Os01g08420","LOC_Os03g62388","0.736894","0.0"
"LOC_Os01g08420","LOC_Os03g62580","0.782407","0.0"
"LOC_Os01g08420","LOC_Os03g62640","0.764303","0.0"
"LOC_Os01g08420","LOC_Os03g62650","0.782421","0.0"
"LOC_Os01g08420","LOC_Os03g62680","0.747495","0.0"
"LOC_Os01g08420","LOC_Os03g62910","0.822732","0.0"
"LOC_Os01g08420","LOC_Os03g63010","0.850537","0.0"
"LOC_Os01g08420","LOC_Os03g63020","0.712988","2.8E-45"
"LOC_Os01g08420","LOC_Os03g63040","0.717308","0.0"
"LOC_Os01g08420","LOC_Os03g63250","0.72993","0.0"
"LOC_Os01g08420","LOC_Os03g63470","0.821504","0.0"
"LOC_Os01g08420","LOC_Os03g63500","0.714795","1.4E-45"
"LOC_Os01g08420","LOC_Os03g64080","0.764423","0.0"
"LOC_Os01g08420","LOC_Os03g64190","0.737382","0.0"
"LOC_Os01g08420","LOC_Os03g64250","0.707051","2.5E-44"
"LOC_Os01g08420","LOC_Os03g64300","0.85306","0.0"
"LOC_Os01g08420","LOC_Os03g64400","0.837433","0.0"
"LOC_Os01g08420","LOC_Os04g01780","0.702988","1.23E-43"
"LOC_Os01g08420","LOC_Os04g02280","0.715575","1.4E-45"
"LOC_Os01g08420","LOC_Os04g02500","0.722275","0.0"
"LOC_Os01g08420","LOC_Os04g02890","0.727867","0.0"
"LOC_Os01g08420","LOC_Os04g03884","0.801352","0.0"
"LOC_Os01g08420","LOC_Os04g10380","0.890079","0.0"
"LOC_Os01g08420","LOC_Os04g10420","0.779206","0.0"
"LOC_Os01g08420","LOC_Os04g11850","0.788522","0.0"
"LOC_Os01g08420","LOC_Os04g11880","0.761934","0.0"
"LOC_Os01g08420","LOC_Os04g12730","0.709978","7.0E-45"
"LOC_Os01g08420","LOC_Os04g12744","0.789934","0.0"
"LOC_Os01g08420","LOC_Os04g13470","0.728587","0.0"
"LOC_Os01g08420","LOC_Os04g14110","0.723402","0.0"
"LOC_Os01g08420","LOC_Os04g14204","0.771998","0.0"
"LOC_Os01g08420","LOC_Os04g14450","0.814099","0.0"
"LOC_Os01g08420","LOC_Os04g14510","0.877326","0.0"
"LOC_Os01g08420","LOC_Os04g14760","0.73069","0.0"
"LOC_Os01g08420","LOC_Os04g14790","0.731418","0.0"
"LOC_Os01g08420","LOC_Os04g15550","0.83035","0.0"
"LOC_Os01g08420","LOC_Os04g15660","0.860987","0.0"
"LOC_Os01g08420","LOC_Os04g15790","0.766986","0.0"
"LOC_Os01g08420","LOC_Os04g16940","0.744948","0.0"
"LOC_Os01g08420","LOC_Os04g18200","0.733716","0.0"
"LOC_Os01g08420","LOC_Os04g19684","0.766093","0.0"
"LOC_Os01g08420","LOC_Os04g20180","0.783656","0.0"
"LOC_Os01g08420","LOC_Os04g20210","0.708025","1.7E-44"
"LOC_Os01g08420","LOC_Os04g20270","0.771939","0.0"
"LOC_Os01g08420","LOC_Os04g20424","0.799661","0.0"
"LOC_Os01g08420","LOC_Os04g20990","0.716926","0.0"
"LOC_Os01g08420","LOC_Os04g21580","0.82768","0.0"
"LOC_Os01g08420","LOC_Os04g22360","0.76209","0.0"
"LOC_Os01g08420","LOC_Os04g23180","0.700905","2.77E-43"
"LOC_Os01g08420","LOC_Os04g24170","0.80259","0.0"
"LOC_Os01g08420","LOC_Os04g27850","0.808131","0.0"
"LOC_Os01g08420","LOC_Os04g28010","0.81481","0.0"
"LOC_Os01g08420","LOC_Os04g28050","0.742485","0.0"
"LOC_Os01g08420","LOC_Os04g28460","0.791732","0.0"
"LOC_Os01g08420","LOC_Os04g28470","0.771911","0.0"
"LOC_Os01g08420","LOC_Os04g28480","0.845065","0.0"
"LOC_Os01g08420","LOC_Os04g30890","0.731374","0.0"
"LOC_Os01g08420","LOC_Os04g31910","0.732245","0.0"
"LOC_Os01g08420","LOC_Os04g32020","0.79461","0.0"
"LOC_Os01g08420","LOC_Os04g32340","0.710029","7.0E-45"
"LOC_Os01g08420","LOC_Os04g32490","0.835366","0.0"
"LOC_Os01g08420","LOC_Os04g32560","0.796672","0.0"
"LOC_Os01g08420","LOC_Os04g32690","0.846139","0.0"
"LOC_Os01g08420","LOC_Os04g32880","0.850096","0.0"
"LOC_Os01g08420","LOC_Os04g33280","0.820236","0.0"
"LOC_Os01g08420","LOC_Os04g33470","0.716018","0.0"
"LOC_Os01g08420","LOC_Os04g33480","0.89982","0.0"
"LOC_Os01g08420","LOC_Os04g33780","0.706994","2.5E-44"
"LOC_Os01g08420","LOC_Os04g34440","0.766003","0.0"
"LOC_Os01g08420","LOC_Os04g34450","0.741069","0.0"
"LOC_Os01g08420","LOC_Os04g34976","0.709581","8.4E-45"
"LOC_Os01g08420","LOC_Os04g34984","0.853282","0.0"
"LOC_Os01g08420","LOC_Os04g35170","0.788314","0.0"
"LOC_Os01g08420","LOC_Os04g35180","0.731241","0.0"
"LOC_Os01g08420","LOC_Os04g35190","0.770763","0.0"
"LOC_Os01g08420","LOC_Os04g35260","0.761131","0.0"
"LOC_Os01g08420","LOC_Os04g35480","0.707563","2.0E-44"
"LOC_Os01g08420","LOC_Os04g35900","0.766915","0.0"
"LOC_Os01g08420","LOC_Os04g36570","0.719932","0.0"
"LOC_Os01g08420","LOC_Os04g36620","0.706071","3.6E-44"
"LOC_Os01g08420","LOC_Os04g36660","0.728486","0.0"
"LOC_Os01g08420","LOC_Os04g36910","0.797589","0.0"
"LOC_Os01g08420","LOC_Os04g37810","0.810138","0.0"
"LOC_Os01g08420","LOC_Os04g37940","0.732928","0.0"
"LOC_Os01g08420","LOC_Os04g38480","0.750669","0.0"
"LOC_Os01g08420","LOC_Os04g39220","0.753375","0.0"
"LOC_Os01g08420","LOC_Os04g39260","0.823261","0.0"
"LOC_Os01g08420","LOC_Os04g39629","0.787418","0.0"
"LOC_Os01g08420","LOC_Os04g40370","0.732143","0.0"
"LOC_Os01g08420","LOC_Os04g40420","0.716317","0.0"
"LOC_Os01g08420","LOC_Os04g41100","0.833624","0.0"
"LOC_Os01g08420","LOC_Os04g41220","0.780738","0.0"
"LOC_Os01g08420","LOC_Os04g41470","0.797199","0.0"
"LOC_Os01g08420","LOC_Os04g41530","0.74423","0.0"
"LOC_Os01g08420","LOC_Os04g41700","0.809506","0.0"
"LOC_Os01g08420","LOC_Os04g41830","0.81733","0.0"
"LOC_Os01g08420","LOC_Os04g41920","0.772826","0.0"
"LOC_Os01g08420","LOC_Os04g42110","0.743131","0.0"
"LOC_Os01g08420","LOC_Os04g42420","0.728512","0.0"
"LOC_Os01g08420","LOC_Os04g43220","0.75575","0.0"
"LOC_Os01g08420","LOC_Os04g43690","0.786017","0.0"
"LOC_Os01g08420","LOC_Os04g44540","0.713258","1.4E-45"
"LOC_Os01g08420","LOC_Os04g44890","0.74764","0.0"
"LOC_Os01g08420","LOC_Os04g45160","0.709129","1.1E-44"
"LOC_Os01g08420","LOC_Os04g45180","0.763582","0.0"
"LOC_Os01g08420","LOC_Os04g45240","0.769095","0.0"
"LOC_Os01g08420","LOC_Os04g45930","0.857432","0.0"
"LOC_Os01g08420","LOC_Os04g46370","0.752024","0.0"
"LOC_Os01g08420","LOC_Os04g46450","0.834528","0.0"
"LOC_Os01g08420","LOC_Os04g46570","0.721889","0.0"
"LOC_Os01g08420","LOC_Os04g47530","0.755786","0.0"
"LOC_Os01g08420","LOC_Os04g47830","0.747729","0.0"
"LOC_Os01g08420","LOC_Os04g48310","0.730855","0.0"
"LOC_Os01g08420","LOC_Os04g48410","0.762867","0.0"
"LOC_Os01g08420","LOC_Os04g48730","0.704699","6.3E-44"
"LOC_Os01g08420","LOC_Os04g51060","0.805404","0.0"
"LOC_Os01g08420","LOC_Os04g51180","0.815774","0.0"
"LOC_Os01g08420","LOC_Os04g51320","0.704281","7.4E-44"
"LOC_Os01g08420","LOC_Os04g51360","0.744348","0.0"
"LOC_Os01g08420","LOC_Os04g51370","0.820522","0.0"
"LOC_Os01g08420","LOC_Os04g51430","0.766298","0.0"
"LOC_Os01g08420","LOC_Os04g52020","0.825166","0.0"
"LOC_Os01g08420","LOC_Os04g52060","0.796466","0.0"
"LOC_Os01g08420","LOC_Os04g52074","0.70837","1.4E-44"
"LOC_Os01g08420","LOC_Os04g52380","0.716949","0.0"
"LOC_Os01g08420","LOC_Os04g52400","0.772411","0.0"
"LOC_Os01g08420","LOC_Os04g52450","0.71572","1.4E-45"
"LOC_Os01g08420","LOC_Os04g52560","0.746135","0.0"
"LOC_Os01g08420","LOC_Os04g52690","0.879498","0.0"
"LOC_Os01g08420","LOC_Os04g53470","0.71037","7.0E-45"
"LOC_Os01g08420","LOC_Os04g53530","0.727553","0.0"
"LOC_Os01g08420","LOC_Os04g54500","0.71278","2.8E-45"
"LOC_Os01g08420","LOC_Os04g55090","0.763892","0.0"
"LOC_Os01g08420","LOC_Os04g55210","0.711844","4.2E-45"
"LOC_Os01g08420","LOC_Os04g55290","0.750605","0.0"
"LOC_Os01g08420","LOC_Os04g55480","0.828762","0.0"
"LOC_Os01g08420","LOC_Os04g55810","0.835114","0.0"
"LOC_Os01g08420","LOC_Os04g56140","0.834862","0.0"
"LOC_Os01g08420","LOC_Os04g56480","0.778847","0.0"
"LOC_Os01g08420","LOC_Os04g56510","0.757961","0.0"
"LOC_Os01g08420","LOC_Os04g56630","0.804295","0.0"
"LOC_Os01g08420","LOC_Os04g56980","0.786997","0.0"
