# Downloaded from: https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22Os01g0136200%22%7D%2C%7B%22value%22%3A%22Os01g0140500%22%7D%2C%7B%22value%22%3A%22Os01g0170000%22%7D%2C%7B%22value%22%3A%22Os01g0184100%22%7D%2C%7B%22value%22%3A%22Os01g0191300%22%7D%2C%7B%22value%22%3A%22Os01g0205700%22%7D%2C%7B%22value%22%3A%22Os01g0276800%22%7D%2C%7B%22value%22%3A%22Os01g0279400%22%7D%2C%7B%22value%22%3A%22Os01g0292700%22%7D%2C%7B%22value%22%3A%22Os01g0348700%22%7D%2C%7B%22value%22%3A%22Os01g0371200%22%7D%2C%7B%22value%22%3A%22Os01g0606900%22%7D%2C%7B%22value%22%3A%22Os01g0626400%22%7D%2C%7B%22value%22%3A%22Os01g0719100%22%7D%2C%7B%22value%22%3A%22Os01g0757500%22%7D%2C%7B%22value%22%3A%22Os01g0810300%22%7D%2C%7B%22value%22%3A%22Os01g0837500%22%7D%2C%7B%22value%22%3A%22Os01g0840700%22%7D%2C%7B%22value%22%3A%22Os01g0847600%22%7D%2C%7B%22value%22%3A%22Os01g0851000%22%7D%2C%7B%22value%22%3A%22Os01g0884300%22%7D%2C%7B%22value%22%3A%22Os02g0122100%22%7D%2C%7B%22value%22%3A%22Os02g0198900%22%7D%2C%7B%22value%22%3A%22Os02g0202500%22%7D%2C%7B%22value%22%3A%22Os02g0259900%22%7D%2C%7B%22value%22%3A%22Os02g0284600%22%7D%2C%7B%22value%22%3A%22Os02g0491400%22%7D%2C%7B%22value%22%3A%22Os02g0521300%22%7D%2C%7B%22value%22%3A%22Os02g0573200%22%7D%2C%7B%22value%22%3A%22Os02g0622300%22%7D%2C%7B%22value%22%3A%22Os02g0622500%22%7D%2C%7B%22value%22%3A%22Os02g0658800%22%7D%2C%7B%22value%22%3A%22Os02g0707000%22%7D%2C%7B%22value%22%3A%22Os02g0740300%22%7D%2C%7B%22value%22%3A%22Os02g0753800%22%7D%2C%7B%22value%22%3A%22Os02g0758000%22%7D%2C%7B%22value%22%3A%22Os02g0759000%22%7D%2C%7B%22value%22%3A%22Os02g0774300%22%7D%2C%7B%22value%22%3A%22Os02g0782500%22%7D%2C%7B%22value%22%3A%22Os02g0796300%22%7D%2C%7B%22value%22%3A%22Os03g0161900%22%7D%2C%7B%22value%22%3A%22Os03g0166000%22%7D%2C%7B%22value%22%3A%22Os03g0170900%22%7D%2C%7B%22value%22%3A%22Os03g0207250%22%7D%2C%7B%22value%22%3A%22Os03g0245800%22%7D%2C%7B%22value%22%3A%22Os03g0267000%22%7D%2C%7B%22value%22%3A%22Os03g0267200%22%7D%2C%7B%22value%22%3A%22Os03g0271350%22%7D%2C%7B%22value%22%3A%22Os03g0276500%22%7D%2C%7B%22value%22%3A%22Os03g0286900%22%7D%2C%7B%22value%22%3A%22Os03g0302200%22%7D%2C%7B%22value%22%3A%22Os03g0309200%22%7D%2C%7B%22value%22%3A%22Os03g0329200%22%7D%2C%7B%22value%22%3A%22Os03g0336700%22%7D%2C%7B%22value%22%3A%22Os03g0363600%22%7D%2C%7B%22value%22%3A%22Os03g0576700%22%7D%2C%7B%22value%22%3A%22Os03g0582400%22%7D%2C%7B%22value%22%3A%22Os03g0602600%22%7D%2C%7B%22value%22%3A%22Os03g0667100%22%7D%2C%7B%22value%22%3A%22Os03g0719800%22%7D%2C%7B%22value%22%3A%22Os03g0795900%22%7D%2C%7B%22value%22%3A%22Os03g0796501%22%7D%2C%7B%22value%22%3A%22Os03g0808900%22%7D%2C%7B%22value%22%3A%22Os04g0107900%22%7D%2C%7B%22value%22%3A%22Os04g0445100%22%7D%2C%7B%22value%22%3A%22Os04g0452100%22%7D%2C%7B%22value%22%3A%22Os04g0473400%22%7D%2C%7B%22value%22%3A%22Os04g0538000%22%7D%2C%7B%22value%22%3A%22Os04g0598200%22%7D%2C%7B%22value%22%3A%22Os04g0637300%22%7D%2C%7B%22value%22%3A%22Os05g0125000%22%7D%2C%7B%22value%22%3A%22Os05g0207300%22%7D%2C%7B%22value%22%3A%22Os05g0303000%22%7D%2C%7B%22value%22%3A%22Os05g0516600%22%7D%2C%7B%22value%22%3A%22Os05g0519700%22%7D%2C%7B%22value%22%3A%22Os05g0530400%22%7D%2C%7B%22value%22%3A%22Os05g0556900%22%7D%2C%7B%22value%22%3A%22Os06g0195800%22%7D%2C%7B%22value%22%3A%22Os06g0206900%22%7D%2C%7B%22value%22%3A%22Os06g0274000%22%7D%2C%7B%22value%22%3A%22Os06g0319700%22%7D%2C%7B%22value%22%3A%22Os06g0593100%22%7D%2C%7B%22value%22%3A%22Os06g0682900%22%7D%2C%7B%22value%22%3A%22Os07g0523300%22%7D%2C%7B%22value%22%3A%22Os07g0684800%22%7D%2C%7B%22value%22%3A%22Os08g0525600%22%7D%2C%7B%22value%22%3A%22Os09g0258600%22%7D%2C%7B%22value%22%3A%22Os09g0323100%22%7D%2C%7B%22value%22%3A%22Os09g0375100%22%7D%2C%7B%22value%22%3A%22Os09g0413500%22%7D%2C%7B%22value%22%3A%22Os09g0416800%22%7D%2C%7B%22value%22%3A%22Os09g0456800%22%7D%2C%7B%22value%22%3A%22Os09g0526600%22%7D%2C%7B%22value%22%3A%22Os09g0530200%22%7D%2C%7B%22value%22%3A%22Os09g0542000%22%7D%2C%7B%22value%22%3A%22Os10g0419300%22%7D%2C%7B%22value%22%3A%22Os10g0465800%22%7D%2C%7B%22value%22%3A%22Os10g0471000%22%7D%2C%7B%22value%22%3A%22Os11g0244200%22%7D%2C%7B%22value%22%3A%22Os11g0433900%22%7D%2C%7B%22value%22%3A%22Os11g0518600%22%7D%2C%7B%22value%22%3A%22Os11g0702100%22%7D%2C%7B%22value%22%3A%22Os11g0703900%22%7D%2C%7B%22value%22%3A%22Os12g0244100%22%7D%2C%7B%22value%22%3A%22Os12g0569700%22%7D%5D&species=&conditionQuery=%5B%5D&bs=%7B%22oryza%20sativa%22%3A%5B%22ORGANISM_PART%22%5D%7D#baseline
# Timestamp: 2022-01-05T08:14:43.877Z
# Query results for: [{"value":"Os01g0136200"},{"value":"Os01g0140500"},{"value":"Os01g0170000"},{"value":"Os01g0184100"},{"value":"Os01g0191300"},{"value":"Os01g0205700"},{"value":"Os01g0276800"},{"value":"Os01g0279400"},{"value":"Os01g0292700"},{"value":"Os01g0348700"},{"value":"Os01g0371200"},{"value":"Os01g0606900"},{"value":"Os01g0626400"},{"value":"Os01g0719100"},{"value":"Os01g0757500"},{"value":"Os01g0810300"},{"value":"Os01g0837500"},{"value":"Os01g0840700"},{"value":"Os01g0847600"},{"value":"Os01g0851000"},{"value":"Os01g0884300"},{"value":"Os02g0122100"},{"value":"Os02g0198900"},{"value":"Os02g0202500"},{"value":"Os02g0259900"},{"value":"Os02g0284600"},{"value":"Os02g0491400"},{"value":"Os02g0521300"},{"value":"Os02g0573200"},{"value":"Os02g0622300"},{"value":"Os02g0622500"},{"value":"Os02g0658800"},{"value":"Os02g0707000"},{"value":"Os02g0740300"},{"value":"Os02g0753800"},{"value":"Os02g0758000"},{"value":"Os02g0759000"},{"value":"Os02g0774300"},{"value":"Os02g0782500"},{"value":"Os02g0796300"},{"value":"Os03g0161900"},{"value":"Os03g0166000"},{"value":"Os03g0170900"},{"value":"Os03g0207250"},{"value":"Os03g0245800"},{"value":"Os03g0267000"},{"value":"Os03g0267200"},{"value":"Os03g0271350"},{"value":"Os03g0276500"},{"value":"Os03g0286900"},{"value":"Os03g0302200"},{"value":"Os03g0309200"},{"value":"Os03g0329200"},{"value":"Os03g0336700"},{"value":"Os03g0363600"},{"value":"Os03g0576700"},{"value":"Os03g0582400"},{"value":"Os03g0602600"},{"value":"Os03g0667100"},{"value":"Os03g0719800"},{"value":"Os03g0795900"},{"value":"Os03g0796501"},{"value":"Os03g0808900"},{"value":"Os04g0107900"},{"value":"Os04g0445100"},{"value":"Os04g0452100"},{"value":"Os04g0473400"},{"value":"Os04g0538000"},{"value":"Os04g0598200"},{"value":"Os04g0637300"},{"value":"Os05g0125000"},{"value":"Os05g0207300"},{"value":"Os05g0303000"},{"value":"Os05g0516600"},{"value":"Os05g0519700"},{"value":"Os05g0530400"},{"value":"Os05g0556900"},{"value":"Os06g0195800"},{"value":"Os06g0206900"},{"value":"Os06g0274000"},{"value":"Os06g0319700"},{"value":"Os06g0593100"},{"value":"Os06g0682900"},{"value":"Os07g0523300"},{"value":"Os07g0684800"},{"value":"Os08g0525600"},{"value":"Os09g0258600"},{"value":"Os09g0323100"},{"value":"Os09g0375100"},{"value":"Os09g0413500"},{"value":"Os09g0416800"},{"value":"Os09g0456800"},{"value":"Os09g0526600"},{"value":"Os09g0530200"},{"value":"Os09g0542000"},{"value":"Os10g0419300"},{"value":"Os10g0465800"},{"value":"Os10g0471000"},{"value":"Os11g0244200"},{"value":"Os11g0433900"},{"value":"Os11g0518600"},{"value":"Os11g0702100"},{"value":"Os11g0703900"},{"value":"Os12g0244100"},{"value":"Os12g0569700"}], in conditions [], in species Oryza sativa
# Ordering: By experiment type
	anther	callus	carpel	early inflorescence	emerging inflorescence	endosperm	leaf	microgametophyte vegetative cell	pistil	plant egg cell	plant embryo	pollen sperm cell	post-flowering panicle	pre-flowering panicle	root	seed	seed 10 days after pollination	seed 5 days after pollination	shoot
9 Davidson	77	NA	NA	119	95	42	56	NA	152	NA	175	NA	NA	NA	NA	NA	61	120	NA
7 Sakai	NA	313	NA	NA	NA	NA	65	NA	NA	NA	NA	NA	117	99	80	110	NA	NA	60
4 Zhang et al	52	NA	71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	102	NA	NA	34
Anderson et al	NA	NA	NA	NA	NA	NA	NA	25	NA	189	NA	36	NA	NA	NA	NA	NA	NA	NA
