# Downloaded from: https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22Os03g0294700%22%7D%2C%7B%22value%22%3A%22Os04g0578000%22%7D%2C%7B%22value%22%3A%22Os07g0604700%22%7D%2C%7B%22value%22%3A%22Os11g0210300%22%7D%5D&species=&conditionQuery=%5B%5D&bs=%7B%22oryza%20sativa%22%3A%5B%22ORGANISM_PART%22%5D%7D#baseline
# Timestamp: 2022-01-05T08:26:04.155Z
# Query results for: [{"value":"Os03g0294700"},{"value":"Os04g0578000"},{"value":"Os07g0604700"},{"value":"Os11g0210300"}], in conditions [], in species Oryza sativa
# Ordering: By experiment type
	anther	callus	carpel	early inflorescence	emerging inflorescence	endosperm	leaf	microgametophyte vegetative cell	pistil	plant egg cell	plant embryo	pollen sperm cell	post-flowering panicle	pre-flowering panicle	root	seed	seed 10 days after pollination	seed 5 days after pollination	shoot
9 Davidson	196	NA	NA	166	244	28	9	NA	220	NA	683	NA	NA	NA	NA	NA	71	138	NA
7 Sakai	NA	320	NA	NA	NA	NA	19	NA	NA	NA	NA	NA	137	133	16	209	NA	NA	25
4 Zhang et al	81	NA	109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63	NA	NA	10
Anderson et al	NA	NA	NA	NA	NA	NA	NA	238	NA	1517	NA	14	NA	NA	NA	NA	NA	NA	NA
