# Downloaded from: https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22Os01g0104100%22%7D%2C%7B%22value%22%3A%22Os01g0205700%22%7D%2C%7B%22value%22%3A%22Os01g0263300%22%7D%2C%7B%22value%22%3A%22Os01g0510100%22%7D%2C%7B%22value%22%3A%22Os01g0764800%22%7D%2C%7B%22value%22%3A%22Os01g0769900%22%7D%2C%7B%22value%22%3A%22Os01g0805600%22%7D%2C%7B%22value%22%3A%22Os01g0823500%22%7D%2C%7B%22value%22%3A%22Os01g0823900%22%7D%2C%7B%22value%22%3A%22Os01g0841500%22%7D%2C%7B%22value%22%3A%22Os01g0884300%22%7D%2C%7B%22value%22%3A%22Os01g0928000%22%7D%2C%7B%22value%22%3A%22Os01g0968800%22%7D%2C%7B%22value%22%3A%22Os02g0278700%22%7D%2C%7B%22value%22%3A%22Os02g0543000%22%7D%2C%7B%22value%22%3A%22Os02g0571100%22%7D%2C%7B%22value%22%3A%22Os02g0624300%22%7D%2C%7B%22value%22%3A%22Os02g0646400%22%7D%2C%7B%22value%22%3A%22Os02g0661100%22%7D%2C%7B%22value%22%3A%22Os02g0669100%22%7D%2C%7B%22value%22%3A%22Os02g0677300%22%7D%2C%7B%22value%22%3A%22Os02g0701300%22%7D%2C%7B%22value%22%3A%22Os02g0716500%22%7D%2C%7B%22value%22%3A%22Os02g0731200%22%7D%2C%7B%22value%22%3A%22Os03g0103300%22%7D%2C%7B%22value%22%3A%22Os03g0128700%22%7D%2C%7B%22value%22%3A%22Os03g0223400%22%7D%2C%7B%22value%22%3A%22Os03g0230300%22%7D%2C%7B%22value%22%3A%22Os03g0285700%22%7D%2C%7B%22value%22%3A%22Os03g0285800%22%7D%2C%7B%22value%22%3A%22Os03g0315400%22%7D%2C%7B%22value%22%3A%22Os03g0319400%22%7D%2C%7B%22value%22%3A%22Os03g0587000%22%7D%2C%7B%22value%22%3A%22Os03g0656900%22%7D%2C%7B%22value%22%3A%22Os03g0681900%22%7D%2C%7B%22value%22%3A%22Os03g0737200%22%7D%2C%7B%22value%22%3A%22Os03g0799700%22%7D%2C%7B%22value%22%3A%22Os03g0820300%22%7D%2C%7B%22value%22%3A%22Os03g0836200%22%7D%2C%7B%22value%22%3A%22Os04g0132500%22%7D%2C%7B%22value%22%3A%22Os04g0178300%22%7D%2C%7B%22value%22%3A%22Os04g0475500%22%7D%2C%7B%22value%22%3A%22Os04g0498600%22%7D%2C%7B%22value%22%3A%22Os04g0517100%22%7D%2C%7B%22value%22%3A%22Os04g0541700%22%7D%2C%7B%22value%22%3A%22Os04g0584600%22%7D%2C%7B%22value%22%3A%22Os04g0600200%22%7D%2C%7B%22value%22%3A%22Os04g0684500%22%7D%2C%7B%22value%22%3A%22Os04g0684900%22%7D%2C%7B%22value%22%3A%22Os05g0129300%22%7D%2C%7B%22value%22%3A%22Os05g0139100%22%7D%2C%7B%22value%22%3A%22Os05g0322900%22%7D%2C%7B%22value%22%3A%22Os05g0381400%22%7D%2C%7B%22value%22%3A%22Os05g0407500%22%7D%2C%7B%22value%22%3A%22Os05g0411200%22%7D%2C%7B%22value%22%3A%22Os05g0455500%22%7D%2C%7B%22value%22%3A%22Os05g0476700%22%7D%2C%7B%22value%22%3A%22Os05g0518600%22%7D%2C%7B%22value%22%3A%22Os05g0542500%22%7D%2C%7B%22value%22%3A%22Os05g0574500%22%7D%2C%7B%22value%22%3A%22Os06g0127100%22%7D%2C%7B%22value%22%3A%22Os06g0154500%22%7D%2C%7B%22value%22%3A%22Os06g0165600%22%7D%2C%7B%22value%22%3A%22Os06g0211200%22%7D%2C%7B%22value%22%3A%22Os06g0528600%22%7D%2C%7B%22value%22%3A%22Os06g0603600%22%7D%2C%7B%22value%22%3A%22Os06g0612800%22%7D%2C%7B%22value%22%3A%22Os06g0644200%22%7D%2C%7B%22value%22%3A%22Os06g0662200%22%7D%2C%7B%22value%22%3A%22Os06g0687200%22%7D%2C%7B%22value%22%3A%22Os06g0708400%22%7D%2C%7B%22value%22%3A%22Os06g0726300%22%7D%2C%7B%22value%22%3A%22Os07g0142200%22%7D%2C%7B%22value%22%3A%22Os07g0161600%22%7D%2C%7B%22value%22%3A%22Os07g0187300%22%7D%2C%7B%22value%22%3A%22Os07g0498800%22%7D%2C%7B%22value%22%3A%22Os07g0588700%22%7D%2C%7B%22value%22%3A%22Os07g0628500%22%7D%2C%7B%22value%22%3A%22Os07g0693800%22%7D%2C%7B%22value%22%3A%22Os07g0694700%22%7D%2C%7B%22value%22%3A%22Os08g0139000%22%7D%2C%7B%22value%22%3A%22Os08g0167500%22%7D%2C%7B%22value%22%3A%22Os08g0205150%22%7D%2C%7B%22value%22%3A%22Os08g0300366%22%7D%2C%7B%22value%22%3A%22Os08g0378900%22%7D%2C%7B%22value%22%3A%22Os08g0492100%22%7D%2C%7B%22value%22%3A%22Os08g0546800%22%7D%2C%7B%22value%22%3A%22Os09g0334500%22%7D%2C%7B%22value%22%3A%22Os09g0410300%22%7D%2C%7B%22value%22%3A%22Os09g0522000%22%7D%2C%7B%22value%22%3A%22Os09g0522200%22%7D%2C%7B%22value%22%3A%22Os09g0541000%22%7D%2C%7B%22value%22%3A%22Os10g0148100%22%7D%2C%7B%22value%22%3A%22Os10g0421800%22%7D%2C%7B%22value%22%3A%22Os10g0445400%22%7D%2C%7B%22value%22%3A%22Os10g0561400%22%7D%2C%7B%22value%22%3A%22Os11g0167800%22%7D%2C%7B%22value%22%3A%22Os11g0171500%22%7D%2C%7B%22value%22%3A%22Os11g0184900%22%7D%2C%7B%22value%22%3A%22Os11g0523700%22%7D%2C%7B%22value%22%3A%22Os12g0179800%22%7D%2C%7B%22value%22%3A%22Os12g0555500%22%7D%2C%7B%22value%22%3A%22Os12g0560900%22%7D%2C%7B%22value%22%3A%220%22%7D%5D&species=&conditionQuery=%5B%5D&bs=%7B%22oryza%20sativa%22%3A%5B%22ORGANISM_PART%22%5D%7D#baseline
# Timestamp: 2022-08-06T03:05:57.327Z
# Query results for: [{"value":"Os01g0104100"},{"value":"Os01g0205700"},{"value":"Os01g0263300"},{"value":"Os01g0510100"},{"value":"Os01g0764800"},{"value":"Os01g0769900"},{"value":"Os01g0805600"},{"value":"Os01g0823500"},{"value":"Os01g0823900"},{"value":"Os01g0841500"},{"value":"Os01g0884300"},{"value":"Os01g0928000"},{"value":"Os01g0968800"},{"value":"Os02g0278700"},{"value":"Os02g0543000"},{"value":"Os02g0571100"},{"value":"Os02g0624300"},{"value":"Os02g0646400"},{"value":"Os02g0661100"},{"value":"Os02g0669100"},{"value":"Os02g0677300"},{"value":"Os02g0701300"},{"value":"Os02g0716500"},{"value":"Os02g0731200"},{"value":"Os03g0103300"},{"value":"Os03g0128700"},{"value":"Os03g0223400"},{"value":"Os03g0230300"},{"value":"Os03g0285700"},{"value":"Os03g0285800"},{"value":"Os03g0315400"},{"value":"Os03g0319400"},{"value":"Os03g0587000"},{"value":"Os03g0656900"},{"value":"Os03g0681900"},{"value":"Os03g0737200"},{"value":"Os03g0799700"},{"value":"Os03g0820300"},{"value":"Os03g0836200"},{"value":"Os04g0132500"},{"value":"Os04g0178300"},{"value":"Os04g0475500"},{"value":"Os04g0498600"},{"value":"Os04g0517100"},{"value":"Os04g0541700"},{"value":"Os04g0584600"},{"value":"Os04g0600200"},{"value":"Os04g0684500"},{"value":"Os04g0684900"},{"value":"Os05g0129300"},{"value":"Os05g0139100"},{"value":"Os05g0322900"},{"value":"Os05g0381400"},{"value":"Os05g0407500"},{"value":"Os05g0411200"},{"value":"Os05g0455500"},{"value":"Os05g0476700"},{"value":"Os05g0518600"},{"value":"Os05g0542500"},{"value":"Os05g0574500"},{"value":"Os06g0127100"},{"value":"Os06g0154500"},{"value":"Os06g0165600"},{"value":"Os06g0211200"},{"value":"Os06g0528600"},{"value":"Os06g0603600"},{"value":"Os06g0612800"},{"value":"Os06g0644200"},{"value":"Os06g0662200"},{"value":"Os06g0687200"},{"value":"Os06g0708400"},{"value":"Os06g0726300"},{"value":"Os07g0142200"},{"value":"Os07g0161600"},{"value":"Os07g0187300"},{"value":"Os07g0498800"},{"value":"Os07g0588700"},{"value":"Os07g0628500"},{"value":"Os07g0693800"},{"value":"Os07g0694700"},{"value":"Os08g0139000"},{"value":"Os08g0167500"},{"value":"Os08g0205150"},{"value":"Os08g0300366"},{"value":"Os08g0378900"},{"value":"Os08g0492100"},{"value":"Os08g0546800"},{"value":"Os09g0334500"},{"value":"Os09g0410300"},{"value":"Os09g0522000"},{"value":"Os09g0522200"},{"value":"Os09g0541000"},{"value":"Os10g0148100"},{"value":"Os10g0421800"},{"value":"Os10g0445400"},{"value":"Os10g0561400"},{"value":"Os11g0167800"},{"value":"Os11g0171500"},{"value":"Os11g0184900"},{"value":"Os11g0523700"},{"value":"Os12g0179800"},{"value":"Os12g0555500"},{"value":"Os12g0560900"},{"value":"0"}], in conditions [], in species Oryza sativa
# Ordering: By experiment type
	anther	callus	carpel	early inflorescence	emerging inflorescence	endosperm	leaf	microgametophyte vegetative cell	pistil	plant egg cell	plant embryo	pollen sperm cell	post-flowering panicle	pre-flowering panicle	root	seed	seed 10 days after pollination	seed 5 days after pollination	shoot
9 Davidson	66	NA	NA	152	157	46	95	NA	90	NA	121	NA	NA	NA	NA	NA	37	118	NA
7 Sakai	NA	173	NA	NA	NA	NA	84	NA	NA	NA	NA	NA	134	85	134	69	NA	NA	105
4 Zhang et al	61	NA	67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	108	NA	NA	100
Anderson et al	NA	NA	NA	NA	NA	NA	NA	68	NA	83	NA	42	NA	NA	NA	NA	NA	NA	NA
