# Downloaded from: https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22Os01g0141000%22%7D%2C%7B%22value%22%3A%22Os01g0182600%22%7D%2C%7B%22value%22%3A%22Os01g0191300%22%7D%2C%7B%22value%22%3A%22Os01g0270100%22%7D%2C%7B%22value%22%3A%22Os01g0626400%22%7D%2C%7B%22value%22%3A%22Os01g0667200%22%7D%2C%7B%22value%22%3A%22Os01g0686800%22%7D%2C%7B%22value%22%3A%22Os01g0699100%22%7D%2C%7B%22value%22%3A%22Os01g0734200%22%7D%2C%7B%22value%22%3A%22Os01g0741900%22%7D%2C%7B%22value%22%3A%22Os01g0818400%22%7D%2C%7B%22value%22%3A%22Os01g0823900%22%7D%2C%7B%22value%22%3A%22Os02g0126400%22%7D%2C%7B%22value%22%3A%22Os02g0195600%22%7D%2C%7B%22value%22%3A%22Os02g0576700%22%7D%2C%7B%22value%22%3A%22Os02g0579600%22%7D%2C%7B%22value%22%3A%22Os02g0649300%22%7D%2C%7B%22value%22%3A%22Os02g0701300%22%7D%2C%7B%22value%22%3A%22Os02g0731200%22%7D%2C%7B%22value%22%3A%22Os02g0766700%22%7D%2C%7B%22value%22%3A%22Os03g0128700%22%7D%2C%7B%22value%22%3A%22Os03g0140400%22%7D%2C%7B%22value%22%3A%22Os03g0319300%22%7D%2C%7B%22value%22%3A%22Os03g0348900%22%7D%2C%7B%22value%22%3A%22Os03g0669100%22%7D%2C%7B%22value%22%3A%22Os03g0669200%22%7D%2C%7B%22value%22%3A%22Os03g0680800%22%7D%2C%7B%22value%22%3A%22Os04g0401700%22%7D%2C%7B%22value%22%3A%22Os04g0460600%22%7D%2C%7B%22value%22%3A%22Os04g0603200%22%7D%2C%7B%22value%22%3A%22Os04g0659900%22%7D%2C%7B%22value%22%3A%22Os05g0476700%22%7D%2C%7B%22value%22%3A%22Os05g0584200%22%7D%2C%7B%22value%22%3A%22Os07g0143200%22%7D%2C%7B%22value%22%3A%22Os07g0161600%22%7D%2C%7B%22value%22%3A%22Os07g0569700%22%7D%2C%7B%22value%22%3A%22Os07g0684900%22%7D%2C%7B%22value%22%3A%22Os07g0685700%22%7D%2C%7B%22value%22%3A%22Os08g0112700%22%7D%2C%7B%22value%22%3A%22Os08g0118000%22%7D%2C%7B%22value%22%3A%22Os08g0199300%22%7D%2C%7B%22value%22%3A%22Os08g0199525%22%7D%2C%7B%22value%22%3A%22Os08g0492500%22%7D%2C%7B%22value%22%3A%22Os10g0577800%22%7D%2C%7B%22value%22%3A%22Os11g0171500%22%7D%2C%7B%22value%22%3A%22Os11g0175500%22%7D%2C%7B%22value%22%3A%22Os12g0169400%22%7D%5D&species=&conditionQuery=%5B%5D&bs=%7B%22oryza%20sativa%22%3A%5B%22ORGANISM_PART%22%5D%7D#baseline
# Timestamp: 2022-01-05T08:18:24.197Z
# Query results for: [{"value":"Os01g0141000"},{"value":"Os01g0182600"},{"value":"Os01g0191300"},{"value":"Os01g0270100"},{"value":"Os01g0626400"},{"value":"Os01g0667200"},{"value":"Os01g0686800"},{"value":"Os01g0699100"},{"value":"Os01g0734200"},{"value":"Os01g0741900"},{"value":"Os01g0818400"},{"value":"Os01g0823900"},{"value":"Os02g0126400"},{"value":"Os02g0195600"},{"value":"Os02g0576700"},{"value":"Os02g0579600"},{"value":"Os02g0649300"},{"value":"Os02g0701300"},{"value":"Os02g0731200"},{"value":"Os02g0766700"},{"value":"Os03g0128700"},{"value":"Os03g0140400"},{"value":"Os03g0319300"},{"value":"Os03g0348900"},{"value":"Os03g0669100"},{"value":"Os03g0669200"},{"value":"Os03g0680800"},{"value":"Os04g0401700"},{"value":"Os04g0460600"},{"value":"Os04g0603200"},{"value":"Os04g0659900"},{"value":"Os05g0476700"},{"value":"Os05g0584200"},{"value":"Os07g0143200"},{"value":"Os07g0161600"},{"value":"Os07g0569700"},{"value":"Os07g0684900"},{"value":"Os07g0685700"},{"value":"Os08g0112700"},{"value":"Os08g0118000"},{"value":"Os08g0199300"},{"value":"Os08g0199525"},{"value":"Os08g0492500"},{"value":"Os10g0577800"},{"value":"Os11g0171500"},{"value":"Os11g0175500"},{"value":"Os12g0169400"}], in conditions [], in species Oryza sativa
# Ordering: By experiment type
	anther	callus	carpel	early inflorescence	emerging inflorescence	endosperm	leaf	microgametophyte vegetative cell	pistil	plant egg cell	plant embryo	pollen sperm cell	post-flowering panicle	pre-flowering panicle	root	seed	seed 10 days after pollination	seed 5 days after pollination	shoot
9 Davidson	86	NA	NA	78	76	44	50	NA	89	NA	42	NA	NA	NA	NA	NA	29	57	NA
7 Sakai	NA	56	NA	NA	NA	NA	64	NA	NA	NA	NA	NA	71	53	116	45	NA	NA	62
4 Zhang et al	62	NA	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	NA	NA	47
Anderson et al	NA	NA	NA	NA	NA	NA	NA	58	NA	88	NA	109	NA	NA	NA	NA	NA	NA	NA
